,Year,Pos,Age,height,weight,TS%,G,Tm
88,1950.0,C,24.0,208.0,108.0,0.311,10.0,CHS
89,1950.0,C,30.0,206.0,102.0,0.45399999999999996,68.0,WSC
90,1950.0,G-F,31.0,185.0,77.0,0.444,64.0,INO
91,1950.0,G-F,30.0,183.0,81.0,0.302,14.0,WAT
92,1950.0,PF,26.0,201.0,95.0,0.423,64.0,SYR
93,1950.0,G-F,29.0,188.0,81.0,0.479,60.0,AND
94,1950.0,F-C,22.0,201.0,88.0,0.423,62.0,FTW
95,1950.0,G,22.0,201.0,88.0,0.39399999999999996,66.0,MNL
96,1950.0,G,28.0,180.0,81.0,0.365,60.0,TOT
97,1950.0,G,28.0,180.0,81.0,0.406,18.0,TRI
98,1950.0,G,28.0,180.0,81.0,0.318,42.0,MNL
99,1950.0,F,25.0,190.0,92.0,0.34299999999999997,39.0,INO
100,1950.0,C,25.0,206.0,97.0,0.41600000000000004,63.0,TOT
101,1950.0,C,25.0,206.0,97.0,0.405,44.0,FTW
102,1950.0,C,25.0,206.0,97.0,0.44799999999999995,19.0,TRI
103,1950.0,G,25.0,190.0,77.0,0.401,13.0,DNN
104,1950.0,C-F,26.0,206.0,102.0,0.377,67.0,CHS
105,1950.0,G,27.0,178.0,79.0,0.365,68.0,BOS
106,1950.0,G-F,24.0,188.0,88.0,0.40299999999999997,60.0,BLB
107,1950.0,SF,24.0,193.0,83.0,0.376,64.0,INO
108,1950.0,PG,29.0,178.0,79.0,0.38799999999999996,68.0,ROC
109,1950.0,F,24.0,193.0,81.0,0.335,29.0,NYK
110,1950.0,F,25.0,190.0,83.0,0.418,9.0,BLB
111,1950.0,F-G,29.0,190.0,83.0,0.36200000000000004,61.0,MNL
112,1950.0,G,32.0,180.0,79.0,0.467,37.0,BLB
113,1950.0,SF,29.0,196.0,107.0,0.493,68.0,ROC
114,1950.0,PG,28.0,180.0,77.0,0.353,67.0,TOT
115,1950.0,PG,28.0,180.0,77.0,0.364,35.0,AND
116,1950.0,PG,28.0,180.0,77.0,0.33899999999999997,32.0,FTW
117,1950.0,PF,23.0,180.0,77.0,0.449,60.0,INO
118,1950.0,C,24.0,206.0,103.0,0.456,54.0,SHE
119,1950.0,SF,21.0,190.0,86.0,0.426,55.0,BOS
120,1950.0,G,26.0,183.0,83.0,0.33299999999999996,54.0,WSC
121,1950.0,PF,25.0,198.0,97.0,0.406,68.0,TOT
122,1950.0,PF,25.0,198.0,97.0,0.41600000000000004,4.0,TRI
123,1950.0,PF,25.0,198.0,97.0,0.405,64.0,FTW
124,1950.0,C-F,29.0,198.0,97.0,0.43799999999999994,60.0,BOS
